,0
0,1
1,1
2,1
3,1
4,1
5,1
6,0
7,1
8,1
9,0
10,1
11,1
12,1
13,0
14,1
15,1
16,1
17,0
18,1
19,1
20,0
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,0
31,0
32,0
33,1
34,0
35,0
36,1
37,1
38,0
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,0
48,0
49,0
50,1
51,1
52,1
53,1
54,1
55,1
56,0
57,1
58,0
59,0
60,1
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,1
81,0
82,0
83,1
84,1
85,0
86,0
87,0
88,0
89,0
90,1
91,1
92,1
93,0
94,1
95,1
96,0
97,1
98,1
99,1
100,0
101,0
102,1
103,1
104,1
105,1
106,1
107,0
108,1
109,0
110,0
111,1
112,1
113,0
114,1
115,0
116,0
117,0
118,1
119,1
120,0
121,1
122,0
123,1
124,1
125,0
126,0
127,1
128,0
129,0
130,1
131,1
132,0
133,0
134,1
135,1
136,1
137,0
138,0
139,1
140,1
141,0
142,0
143,0
144,1
145,1
146,1
147,1
148,0
149,1
150,0
151,0
152,1
153,0
154,0
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,0
165,1
166,0
167,1
168,1
169,0
170,0
171,1
172,0
173,1
174,1
175,0
176,1
177,1
178,1
179,0
180,1
181,0
182,0
183,1
184,0
185,1
186,1
187,0
188,0
189,1
190,1
191,1
192,1
193,0
194,0
195,0
196,1
197,0
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,0
214,1
215,1
216,1
217,0
218,1
219,1
220,0
221,1
222,0
223,1
224,0
225,0
226,1
227,0
228,1
229,1
230,1
231,1
232,1
233,1
234,0
235,1
236,1
237,1
238,0
239,0
240,0
241,1
242,0
243,0
244,1
245,0
246,0
247,1
248,0
249,0
250,0
251,1
252,0
253,1
254,1
255,1
256,0
257,1
258,1
259,1
260,0
261,0
262,0
263,1
264,0
265,0
266,0
267,0
268,1
269,1
270,1
271,0
272,1
273,0
274,1
275,0
276,1
277,0
278,1
279,1
280,0
281,1
282,0
283,1
284,0
285,0
286,1
287,1
288,0
289,1
290,1
291,1
292,1
293,0
294,1
295,1
296,1
297,1
298,0
299,1
300,0
301,0
302,1
303,1
304,0
305,0
306,0
307,1
308,0
309,0
310,0
311,1
312,0
313,0
314,0
315,1
316,0
317,1
318,1
319,1
320,1
321,0
322,0
323,0
324,0
325,0
326,1
327,0
328,0
329,0
330,1
331,1
332,0
333,1
334,0
335,1
336,0
337,0
338,0
339,0
340,0
341,1
342,1
343,0
344,1
345,1
346,1
347,0
348,1
349,1
350,0
351,1
352,1
353,0
354,1
355,1
356,0
357,1
358,1
359,0
360,1
361,0
362,0
363,0
364,1
365,0
366,1
367,1
368,0
369,1
370,1
371,1
372,1
373,0
374,1
375,1
376,1
377,1
378,0
379,0
380,1
381,1
382,1
383,1
384,1
385,1
386,0
387,1
388,0
389,0
390,0
391,1
392,1
393,0
394,1
395,0
396,0
397,1
398,1
399,0
400,0
401,1
402,0
403,0
404,1
405,1
406,0
407,0
408,1
409,1
410,1
411,1
412,0
413,0
414,0
415,1
416,1
417,0
418,1
419,1
420,1
421,1
422,1
423,1
424,0
425,0
426,0
427,1
428,0
429,1
430,1
431,1
432,1
433,1
434,1
435,0
436,1
437,0
438,1
439,1
440,0
441,1
442,1
443,0
444,1
445,1
446,1
447,1
448,0
449,1
450,1
451,1
452,1
453,1
454,0
455,0
456,1
457,1
458,1
459,0
460,1
461,0
462,1
463,0
464,1
465,1
466,1
467,0
468,0
469,1
470,1
471,1
472,0
473,1
474,0
475,0
476,0
477,1
478,0
479,1
480,1
481,0
482,0
483,1
484,0
485,0
486,1
487,1
488,1
489,1
490,0
491,1
492,1
493,0
494,1
495,1
496,1
497,1
498,1
499,0
500,1
501,1
502,1
503,1
504,1
505,0
506,1
507,0
508,0
509,1
510,0
511,1
512,1
513,0
514,1
515,0
516,1
517,1
518,1
519,0
520,0
521,1
522,1
523,0
524,0
525,1
526,1
527,1
528,0
529,0
530,1
531,1
532,1
533,1
534,0
535,1
536,1
537,1
538,1
539,0
540,1
541,1
542,0
543,0
544,0
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,0
553,1
554,1
555,1
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,1
565,0
566,1
567,1
568,0
569,0
570,0
571,0
572,1
573,1
574,1
575,0
576,0
577,1
578,0
579,1
580,1
581,1
582,0
583,0
584,1
585,1
586,0
587,1
588,1
589,1
590,1
591,1
592,0
593,0
594,0
595,1
596,1
597,0
598,0
599,1
600,1
601,1
602,0
603,0
604,0
605,1
606,1
607,1
608,1
609,0
610,1
611,1
612,1
613,1
614,1
615,0
616,1
617,0
618,0
619,0
620,1
621,1
622,0
623,1
624,0
625,1
626,1
627,0
628,0
629,1
630,1
631,0
632,0
633,0
634,0
635,1
636,1
637,1
638,0
639,1
640,1
641,0
642,1
643,1
644,0
645,1
646,1
647,1
648,1
649,0
650,0
651,0
652,1
653,1
654,1
655,0
656,1
657,1
658,0
659,1
660,0
661,0
662,1
663,1
664,0
665,1
666,1
667,0
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,0
678,1
679,0
680,1
681,1
682,1
683,1
684,1
685,1
686,0
687,1
688,0
689,0
690,0
691,1
692,1
693,1
694,1
695,0
696,1
697,0
698,0
699,1
700,0
701,0
702,0
703,0
704,1
705,1
706,1
707,1
708,0
709,1
710,0
711,1
712,1
713,0
714,0
715,1
716,1
717,0
718,1
719,1
720,0
721,1
722,1
723,1
724,1
725,0
726,0
727,1
728,1
729,0
730,1
731,0
732,1
733,1
734,1
735,1
736,1
737,1
738,0
739,1
740,0
741,1
742,1
743,1
744,1
745,1
746,0
747,1
748,0
749,1
750,1
751,1
752,1
753,0
754,1
755,0
756,1
757,0
758,0
759,0
760,1
761,1
762,1
763,1
764,1
765,1
766,0
767,1
768,0
769,1
770,0
771,1
772,1
773,1
774,1
775,1
776,1
777,0
778,1
779,1
780,1
781,1
782,1
783,1
784,0
785,1
786,0
787,1
788,0
789,1
790,0
791,0
792,1
793,1
794,0
795,1
796,0
797,0
798,0
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,1
807,0
808,0
809,1
810,0
811,1
812,1
