,0
0,5
1,6
2,6
3,7
4,7
5,8
6,9
7,7
8,7
9,7
10,10
11,8
12,8
13,9
14,10
15,9
16,9
17,7
18,8
19,8
20,9
21,7
22,10
23,6
24,9
25,9
26,8
27,8
28,9
29,7
30,9
31,8
32,7
33,7
34,6
35,8
36,8
37,7
38,9
39,7
40,9
41,9
42,9
43,8
44,6
45,8
46,8
47,10
48,6
49,9
50,10
51,8
52,8
53,7
54,8
55,8
56,8
57,7
58,10
59,10
60,9
61,10
62,9
63,6
64,8
65,7
66,7
67,8
68,9
69,9
70,8
71,8
72,9
73,7
74,9
75,7
76,9
77,8
78,8
79,9
80,7
81,7
82,7
83,8
84,9
85,8
86,7
87,9
88,8
89,10
90,7
91,6
92,6
93,10
94,8
95,7
96,10
97,5
98,7
99,6
100,9
101,8
102,7
103,10
104,8
105,5
106,8
107,7
108,7
109,7
110,9
111,9
112,7
113,9
114,9
115,8
116,8
117,7
118,8
119,8
120,9
121,8
122,8
123,9
124,8
125,9
126,8
127,9
128,8
129,9
130,7
131,8
132,7
133,9
134,7
135,8
136,7
137,8
138,8
139,8
140,7
141,9
142,8
143,8
144,7
145,8
146,6
147,7
148,9
149,9
150,10
151,7
152,8
153,9
154,9
155,9
156,6
157,7
158,8
159,10
160,8
161,10
162,7
163,7
164,7
165,7
166,7
167,8
168,9
169,7
170,7
171,10
172,7
173,9
174,8
175,8
176,9
177,8
178,9
179,5
180,7
181,5
182,8
183,9
184,7
185,8
186,8
187,9
188,7
189,9
190,9
191,8
192,9
193,9
194,8
195,9
196,9
197,8
198,9
199,9
200,6
201,8
202,9
203,9
204,10
205,9
206,8
207,10
208,8
209,7
210,10
211,8
212,6
213,8
214,8
215,10
216,8
217,10
218,8
219,8
220,8
221,8
222,6
223,6
224,6
225,7
226,9
227,9
228,9
229,8
230,9
231,6
232,7
233,8
234,10
235,8
236,8
237,9
238,8
239,7
240,7
241,7
242,7
243,8
244,10
245,8
246,9
247,8
248,7
249,8
250,8
251,9
252,9
253,6
254,6
255,6
256,8
257,9
258,6
259,7
260,10
261,6
262,9
263,9
264,6
265,9
266,7
267,8
268,9
269,8
270,9
271,9
272,8
273,10
274,7
275,8
276,10
277,5
278,7
279,10
280,10
281,8
282,10
283,8
284,6
285,9
286,5
287,10
288,7
289,10
290,8
291,8
292,6
293,9
294,8
295,8
296,7
297,8
298,8
299,9
300,8
301,9
302,8
303,9
304,8
305,8
306,7
307,8
308,9
309,9
310,7
311,7
312,6
313,8
314,9
315,9
316,8
317,9
318,7
319,8
320,7
321,9
322,8
323,9
324,7
325,8
326,7
327,7
328,7
329,9
330,7
331,8
332,5
333,6
334,9
335,9
336,9
337,8
338,7
339,9
340,8
341,9
342,8
343,8
344,9
345,8
346,10
347,6
348,9
349,8
350,9
351,9
352,8
353,7
354,6
355,7
356,6
357,8
358,8
359,9
360,8
361,10
362,8
363,9
364,6
365,8
366,5
367,8
368,7
369,10
370,9
371,6
372,9
373,9
374,10
375,6
